playlist_name,song,artist,album,main_genre,subgenre,prior_prob,q1,q2,q3,q4,q5,popularity,danceability,energy,loudness,valence,subg_song_count
The Sound of Deep House,Finally,Kings Of Tomorrow,It's In the Lifestyle (Limited Edition),electronic,deep house,0.010278456,1,2,1,2,1,59,0.859,0.584,-10.933,0.833,13
The Sound of Deep House,You're in My System - Dennis Quin Vocal Mix,Kerri Chandler,You're in My System (Dennis Quin Remixes),electronic,deep house,0.010278456,2,2,1,2,1,47,0.841,0.807,-5.419,0.475,6
The Sound of Deep House,Hey Hey,Dennis Ferrer,Hey Hey,electronic,deep house,0.010278456,2,2,1,2,1,52,0.728,0.868,-5.446,0.921,10
The Sound of Deep House,Misunderstood - Stripped & Salty Vocal,Miguel Migs,Misunderstood (Remixes),electronic,deep house,0.010278456,2,2,1,2,1,46,0.811,0.727,-7.048,0.685,11
The Sound of Deep House,Tom's Bar,Osunlade,MOSS,electronic,deep house,0.010278456,2,2,1,2,5,44,0.712,0.481,-15.734,0.908,12
The Sound of Deep House,Try A Little Tenderness,Sandy Rivera,Try A Little Tenderness,electronic,deep house,0.010278456,2,2,1,2,5,48,0.946,0.317,-7.003,0.558,11
The Sound of Deep House,Lovelee Dae - Original,Blaze,Lovelee Dae,electronic,deep house,0.010278456,2,2,1,1,5,44,0.733,0.634,-9.395,0.326,11
The Sound of Deep House,Claudette - Ralf Gum Radio Edit,Ralf Gum,Claudette (The Ralf GUM and Jimpster Mixes),electronic,deep house,0.010278456,2,2,1,2,5,47,0.878,0.341,-7.986,0.724,10
The Sound of Deep House,Don't Be Afraid,DJ Spen,Transition,electronic,deep house,0.010278456,2,2,1,2,1,40,0.794,0.691,-8.898,0.878,10
The Sound of Deep House,Soul Spectral,Jimpster,Soul Spectral EP,electronic,deep house,0.010278456,2,2,1,1,3,42,0.802,0.886,-8.064,0.229,9
The Sound of Deep House,Your Love (feat. Jamie Principle),Frankie Knuckles,Four Most Cuts Presents - Frankie Knuckles vs. Mr Fingers,electronic,deep house,0.010278456,2,2,1,1,3,52,0.698,0.871,-7.923,0.179,10
